#,クロマトグラム名,CH,Glucose,Propionate,Crotonate,Acetate,合計値,測定済みシーケンス,プロジェクト名,測定日時,コメント,サンプル名,サンプル コメント
51,学生実験_なし_DAY0_06班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 1:46:51,,,
52,学生実験_なし_DAY0_06班,2,11.710226,0.000000,0.000000,0.000000,11.710226,240610_TA,System_2_220829,2024/06/12 1:46:51,,,
53,学生実験_なし_DAY0_07班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 2:17:51,,,
54,学生実験_なし_DAY0_07班,2,17.049564,0.000000,0.000000,0.000000,17.049564,240610_TA,System_2_220829,2024/06/12 2:17:51,,,
55,学生実験_なし_DAY0_08班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 2:48:51,,,
56,学生実験_なし_DAY0_08班,2,16.809155,0.000000,0.000000,0.000000,16.809155,240610_TA,System_2_220829,2024/06/12 2:48:51,,,
57,学生実験_なし_DAY0_09班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 3:19:50,,,
58,学生実験_なし_DAY0_09班,2,18.813747,13.027969,0.000000,0.000000,31.841717,240610_TA,System_2_220829,2024/06/12 3:19:50,,,
59,学生実験_なし_DAY0_10班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 3:50:50,,,
60,学生実験_なし_DAY0_10班,2,14.839487,0.000000,0.000000,0.000000,14.839487,240610_TA,System_2_220829,2024/06/12 3:50:50,,,
61,学生実験_なし_DAY1_01班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 4:21:50,,,
62,学生実験_なし_DAY1_01班,2,14.830804,0.624309,0.000000,0.231012,15.686126,240610_TA,System_2_220829,2024/06/12 4:21:50,,,
63,学生実験_なし_DAY1_02班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 4:52:50,,,
64,学生実験_なし_DAY1_02班,2,15.294090,0.788141,0.000000,0.295007,16.377238,240610_TA,System_2_220829,2024/06/12 4:52:50,,,
65,学生実験_なし_DAY1_03班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 5:23:50,,,
66,学生実験_なし_DAY1_03班,2,17.752539,0.943083,0.000000,0.000000,18.695621,240610_TA,System_2_220829,2024/06/12 5:23:50,,,
67,学生実験_なし_DAY1_04班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 5:54:49,,,
68,学生実験_なし_DAY1_04班,2,17.655003,0.809450,0.000000,0.000000,18.464452,240610_TA,System_2_220829,2024/06/12 5:54:49,,,
69,学生実験_なし_DAY1_05班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 6:25:49,,,
70,学生実験_なし_DAY1_05班,2,16.651822,0.639893,0.000000,0.000000,17.291716,240610_TA,System_2_220829,2024/06/12 6:25:49,,,
71,学生実験_なし_DAY1_06班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 6:56:49,,,
72,学生実験_なし_DAY1_06班,2,15.718144,1.306452,0.000000,0.000000,17.024596,240610_TA,System_2_220829,2024/06/12 6:56:49,,,
73,学生実験_なし_DAY1_07班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 7:27:49,,,
74,学生実験_なし_DAY1_07班,2,17.237535,0.962645,0.000000,0.000000,18.200180,240610_TA,System_2_220829,2024/06/12 7:27:49,,,
75,学生実験_なし_DAY1_08班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 7:58:49,,,
76,学生実験_なし_DAY1_08班,2,18.017290,0.994198,0.000000,0.400672,19.412160,240610_TA,System_2_220829,2024/06/12 7:58:49,,,
77,学生実験_なし_DAY1_09班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 8:29:48,,,
78,学生実験_なし_DAY1_09班,2,19.257569,0.731154,0.000000,0.000000,19.988723,240610_TA,System_2_220829,2024/06/12 8:29:48,,,
79,学生実験_なし_DAY1_10班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 9:00:48,,,
80,学生実験_なし_DAY1_10班,2,14.142522,0.961823,0.000000,0.383036,15.487381,240610_TA,System_2_220829,2024/06/12 9:00:48,,,
81,学生実験_あり_DAY4_01班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 9:31:48,,,
82,学生実験_あり_DAY4_01班,2,13.004549,7.359862,0.000000,0.000000,20.364412,240610_TA,System_2_220829,2024/06/12 9:31:48,,,
83,学生実験_あり_DAY4_02班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 10:02:48,,,
84,学生実験_あり_DAY4_02班,2,15.256579,6.748337,0.000000,0.530000,22.534917,240610_TA,System_2_220829,2024/06/12 10:02:48,,,
85,学生実験_あり_DAY4_03班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 10:33:48,,,
86,学生実験_あり_DAY4_03班,2,15.271128,8.352718,0.000000,0.000000,23.623846,240610_TA,System_2_220829,2024/06/12 10:33:48,,,
87,学生実験_あり_DAY4_04班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 11:04:47,,,
88,学生実験_あり_DAY4_04班,2,15.845772,11.429599,0.000000,0.000000,27.275371,240610_TA,System_2_220829,2024/06/12 11:04:47,,,
89,学生実験_あり_DAY4_05班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 11:35:47,,,
90,学生実験_あり_DAY4_05班,2,15.850976,16.868390,0.000000,0.000000,32.719366,240610_TA,System_2_220829,2024/06/12 11:35:47,,,
91,学生実験_あり_DAY4_06班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 12:06:47,,,
92,学生実験_あり_DAY4_06班,2,13.613409,6.526232,0.000000,0.000000,20.139641,240610_TA,System_2_220829,2024/06/12 12:06:47,,,
93,学生実験_あり_DAY4_07班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 12:37:47,,,
94,学生実験_あり_DAY4_07班,2,14.678774,7.682235,0.000000,0.000000,22.361008,240610_TA,System_2_220829,2024/06/12 12:37:47,,,
95,学生実験_あり_DAY4_08班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 13:08:46,,,
96,学生実験_あり_DAY4_08班,2,14.977064,8.578622,0.000000,0.000000,23.555686,240610_TA,System_2_220829,2024/06/12 13:08:46,,,
97,学生実験_あり_DAY4_09班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 13:39:46,,,
98,学生実験_あり_DAY4_09班,2,16.450044,11.888079,0.000000,0.126762,28.464886,240610_TA,System_2_220829,2024/06/12 13:39:46,,,
99,学生実験_あり_DAY4_10班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 14:10:46,,,
100,学生実験_あり_DAY4_10班,2,15.467425,17.321882,0.000000,0.000000,32.789306,240610_TA,System_2_220829,2024/06/12 14:10:46,,,
101,学生実験_なし_DAY4_01班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 14:41:46,,,
102,学生実験_なし_DAY4_01班,2,11.799718,5.721048,0.000000,0.000000,17.520766,240610_TA,System_2_220829,2024/06/12 14:41:46,,,
103,学生実験_なし_DAY4_02班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 15:12:46,,,
104,学生実験_なし_DAY4_02班,2,11.836148,5.305529,0.000000,0.000000,17.141677,240610_TA,System_2_220829,2024/06/12 15:12:46,,,
105,学生実験_なし_DAY4_03班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 15:43:45,,,
106,学生実験_なし_DAY4_03班,2,12.729371,5.356440,0.000000,1.720100,19.805911,240610_TA,System_2_220829,2024/06/12 15:43:45,,,
107,学生実験_なし_DAY4_04班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 16:14:45,,,
108,学生実験_なし_DAY4_04班,2,12.725487,5.312588,0.000000,0.000000,18.038075,240610_TA,System_2_220829,2024/06/12 16:14:45,,,
109,学生実験_なし_DAY4_05班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 16:45:45,,,
110,学生実験_なし_DAY4_05班,2,12.629086,5.182377,0.000000,0.000000,17.811463,240610_TA,System_2_220829,2024/06/12 16:45:45,,,
111,学生実験_なし_DAY4_06班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 17:16:45,,,
112,学生実験_なし_DAY4_06班,2,8.700403,5.730944,0.000000,0.000000,14.431347,240610_TA,System_2_220829,2024/06/12 17:16:45,,,
113,学生実験_なし_DAY4_07班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 17:47:45,,,
114,学生実験_なし_DAY4_07班,2,10.539674,6.358666,0.000000,0.000000,16.898340,240610_TA,System_2_220829,2024/06/12 17:47:45,,,
115,学生実験_なし_DAY4_08班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 18:18:44,,,
116,学生実験_なし_DAY4_08班,2,11.169771,5.963479,0.000000,0.000000,17.133250,240610_TA,System_2_220829,2024/06/12 18:18:44,,,
117,学生実験_なし_DAY4_09班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 18:49:44,,,
118,学生実験_なし_DAY4_09班,2,11.843034,5.688481,0.000000,0.000000,17.531515,240610_TA,System_2_220829,2024/06/12 18:49:44,,,
119,学生実験_なし_DAY4_10班,1,0.000000,0.000000,0.000000,0.000000,0.000000,240610_TA,System_2_220829,2024/06/12 19:20:44,,,
120,学生実験_なし_DAY4_10班,2,9.949444,5.906281,0.000000,0.000000,15.855725,240610_TA,System_2_220829,2024/06/12 19:20:44,,,
,合計値,,845.830887,325.929512,0.000000,3.686590
,数平均,,7.048591,2.716079,0.000000,0.030722
,標準偏差(n),,7.227688,4.411582,0.000000,0.172967
,CV%値(n),,102.540895,162.424642,ERROR,563.014272
,標準偏差(n-1),,7.257993,4.430079,0.000000,0.173692
,CV%値(n-1),,102.970838,163.105671,ERROR,565.374929
,最小値,,0.000000,0.000000,0.000000,0.000000
,中央値,,4.350201,0.000000,0.000000,0.000000
,最大値,,19.257569,17.321882,0.000000,1.720100
,有効数,,120,120,120,120
,全数,,120,120,120,120
